dispatch_date,Vandalism/Criminal Mischief,DISTRICT_,Robbery Firearm,Thefts,Other Assaults,Theft from Vehicle,Fraud,Aggravated Assault No Firearm,Burglary Non-Residential,Forgery and Counterfeiting,Disorderly Conduct,Burglary Residential,All Other Offenses,Aggravated Assault Firearm,Robbery No Firearm,Narcotic / Drug Law Violations,Vagrancy/Loitering,Other Sex Offenses (Not Commercialized),Arson,Rape,Liquor Law Violations,Weapon Violations,Embezzlement,Public Drunkenness,Prostitution and Commercialized Vice,Receiving Stolen Property,Offenses Against Family and Children,Gambling Violations,DRIVING UNDER THE INFLUENCE,Recovered Stolen Motor Vehicle,Motor Vehicle Theft,Homicide - Criminal,Homicide - Criminal ,Homicide - Justifiable ,Homicide - Gross Negligence
2015-02-28,87,15,13.0,89,177,64,91,33.0,7.0,1.0,18.0,47.0,230,6.0,24.0,26.0,17.0,10.0,3.0,13.0,1.0,13.0,2.0,6.0,10.0,0.0,0.0,0.0,35.0,44,7.0,0.0,0.0,0.0,0.0
2015-03-31,99,15,18.0,120,203,79,117,48.0,11.0,1.0,26.0,46.0,227,9.0,25.0,54.0,28.0,10.0,3.0,5.0,6.0,1.0,1.0,3.0,4.0,0.0,0.0,1.0,40.0,65,15.0,1.0,2.0,0.0,0.0
2015-04-30,136,15,19.0,131,220,61,99,40.0,6.0,1.0,22.0,46.0,292,8.0,44.0,54.0,30.0,6.0,2.0,13.0,8.0,12.0,0.0,4.0,5.0,0.0,1.0,0.0,29.0,62,10.0,1.0,1.0,0.0,0.0
2015-05-31,119,15,14.0,191,245,74,91,56.0,16.0,3.0,28.0,54.0,250,8.0,46.0,39.0,42.0,4.0,4.0,17.0,18.0,14.0,4.0,3.0,7.0,0.0,11.0,1.0,36.0,63,16.0,0.0,0.0,0.0,0.0
2015-06-30,117,15,29.0,175,202,88,76,41.0,17.0,0.0,23.0,61.0,210,16.0,38.0,50.0,26.0,7.0,0.0,10.0,12.0,9.0,1.0,4.0,8.0,0.0,5.0,0.0,20.0,76,20.0,2.0,0.0,0.0,0.0
2015-07-31,120,15,28.0,179,202,140,93,49.0,16.0,1.0,24.0,54.0,231,21.0,26.0,39.0,51.0,9.0,3.0,12.0,25.0,11.0,0.0,1.0,5.0,0.0,2.0,0.0,19.0,61,14.0,2.0,0.0,0.0,0.0
2015-08-31,147,15,39.0,169,218,111,101,45.0,11.0,0.0,17.0,74.0,273,20.0,46.0,25.0,35.0,11.0,5.0,13.0,9.0,10.0,3.0,2.0,12.0,0.0,1.0,0.0,22.0,64,18.0,1.0,1.0,0.0,0.0
2015-09-30,122,15,27.0,140,198,72,97,48.0,8.0,0.0,23.0,79.0,177,12.0,38.0,28.0,2.0,9.0,4.0,6.0,1.0,7.0,1.0,0.0,13.0,0.0,1.0,0.0,16.0,45,17.0,1.0,1.0,0.0,0.0
2015-10-31,119,15,25.0,171,219,97,74,56.0,11.0,1.0,14.0,49.0,206,9.0,33.0,41.0,0.0,10.0,1.0,5.0,0.0,9.0,4.0,0.0,10.0,0.0,1.0,0.0,23.0,51,14.0,3.0,1.0,0.0,0.0
2015-11-30,136,15,28.0,131,184,110,79,30.0,6.0,1.0,13.0,49.0,161,18.0,29.0,32.0,0.0,9.0,4.0,7.0,6.0,10.0,1.0,2.0,11.0,0.0,2.0,0.0,20.0,51,11.0,0.0,0.0,0.0,0.0
2015-12-31,135,15,25.0,134,185,144,58,40.0,8.0,2.0,23.0,59.0,154,16.0,28.0,38.0,1.0,6.0,0.0,8.0,10.0,12.0,1.0,6.0,5.0,0.0,0.0,0.0,21.0,88,22.0,0.0,0.0,0.0,0.0
2016-01-31,103,15,24.0,124,202,64,80,35.0,9.0,1.0,14.0,43.0,104,21.0,22.0,22.0,0.0,13.0,0.0,6.0,1.0,12.0,4.0,4.0,6.0,1.0,1.0,0.0,18.0,62,12.0,1.0,0.0,0.0,0.0
2016-02-29,111,15,12.0,112,181,84,72,36.0,10.0,2.0,24.0,38.0,124,14.0,25.0,28.0,0.0,3.0,7.0,9.0,2.0,12.0,3.0,3.0,2.0,1.0,3.0,0.0,12.0,70,16.0,1.0,1.0,0.0,0.0
2016-03-31,130,15,14.0,106,221,102,77,42.0,10.0,0.0,19.0,46.0,190,21.0,22.0,32.0,1.0,10.0,11.0,8.0,1.0,10.0,3.0,4.0,13.0,0.0,0.0,0.0,40.0,58,12.0,0.0,1.0,0.0,0.0
2016-04-30,134,15,22.0,110,250,102,104,38.0,18.0,1.0,28.0,35.0,305,17.0,29.0,51.0,0.0,9.0,0.0,8.0,2.0,9.0,2.0,2.0,3.0,0.0,1.0,0.0,23.0,56,16.0,0.0,0.0,0.0,0.0
2016-05-31,128,15,17.0,127,217,108,79,63.0,8.0,2.0,17.0,51.0,275,20.0,29.0,54.0,0.0,7.0,3.0,7.0,0.0,17.0,2.0,2.0,23.0,1.0,0.0,0.0,12.0,73,21.0,1.0,0.0,0.0,0.0
2016-06-30,117,15,16.0,135,242,103,73,52.0,10.0,0.0,12.0,57.0,247,23.0,30.0,35.0,0.0,3.0,2.0,15.0,0.0,5.0,0.0,0.0,16.0,1.0,2.0,0.0,12.0,50,21.0,3.0,0.0,0.0,0.0
2016-07-31,120,15,25.0,181,161,118,65,28.0,13.0,2.0,5.0,53.0,224,19.0,27.0,14.0,0.0,6.0,6.0,15.0,0.0,7.0,2.0,1.0,6.0,0.0,0.0,0.0,16.0,50,16.0,1.0,0.0,0.0,0.0
2016-08-31,147,15,29.0,152,218,102,101,48.0,15.0,0.0,7.0,66.0,284,24.0,24.0,35.0,0.0,6.0,1.0,13.0,0.0,5.0,0.0,1.0,7.0,1.0,2.0,0.0,13.0,84,28.0,2.0,0.0,0.0,0.0
2016-09-30,124,15,12.0,136,201,120,77,41.0,16.0,1.0,9.0,39.0,237,24.0,33.0,35.0,0.0,4.0,3.0,8.0,0.0,7.0,1.0,3.0,7.0,0.0,0.0,0.0,13.0,70,17.0,1.0,0.0,0.0,0.0
2016-10-31,124,15,17.0,158,190,99,89,36.0,7.0,1.0,11.0,39.0,270,13.0,37.0,46.0,0.0,11.0,2.0,9.0,0.0,15.0,1.0,2.0,10.0,0.0,2.0,0.0,31.0,72,19.0,1.0,0.0,0.0,0.0
2016-11-30,119,15,25.0,132,166,127,68,36.0,10.0,2.0,4.0,47.0,189,21.0,38.0,26.0,0.0,6.0,5.0,9.0,1.0,5.0,2.0,1.0,17.0,0.0,0.0,0.0,22.0,61,21.0,1.0,0.0,0.0,0.0
2016-12-31,152,15,26.0,138,169,97,65,36.0,16.0,0.0,5.0,33.0,166,17.0,22.0,24.0,0.0,4.0,8.0,6.0,1.0,7.0,2.0,3.0,10.0,0.0,0.0,0.0,21.0,50,17.0,2.0,0.0,0.0,0.0
2017-01-31,131,15,22.0,123,151,71,73,33.0,10.0,2.0,7.0,29.0,117,26.0,29.0,31.0,0.0,6.0,4.0,6.0,1.0,12.0,2.0,0.0,4.0,0.0,0.0,0.0,23.0,62,18.0,3.0,0.0,0.0,0.0
2017-02-28,104,15,17.0,108,162,58,82,18.0,4.0,1.0,22.0,20.0,145,17.0,21.0,40.0,0.0,3.0,4.0,12.0,1.0,10.0,2.0,3.0,5.0,0.0,0.0,0.0,18.0,51,18.0,0.0,0.0,0.0,0.0
2017-03-31,111,15,13.0,84,200,50,75,20.0,7.0,0.0,25.0,38.0,161,13.0,25.0,52.0,0.0,11.0,6.0,9.0,6.0,12.0,2.0,0.0,2.0,1.0,0.0,0.0,23.0,64,15.0,0.0,0.0,0.0,0.0
2017-04-30,107,15,16.0,143,190,113,78,26.0,12.0,0.0,7.0,41.0,172,17.0,32.0,43.0,0.0,3.0,3.0,12.0,2.0,15.0,3.0,3.0,4.0,0.0,2.0,0.0,26.0,51,10.0,2.0,0.0,0.0,0.0
2017-05-31,122,15,21.0,144,197,129,92,31.0,8.0,0.0,6.0,42.0,161,14.0,23.0,52.0,0.0,7.0,3.0,12.0,0.0,22.0,1.0,0.0,4.0,0.0,1.0,0.0,16.0,62,23.0,0.0,0.0,0.0,0.0
2017-06-30,110,15,19.0,130,194,112,67,42.0,16.0,2.0,3.0,31.0,200,28.0,27.0,38.0,2.0,6.0,6.0,10.0,1.0,12.0,1.0,1.0,6.0,0.0,0.0,0.0,11.0,75,14.0,2.0,0.0,0.0,0.0
